"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Auth","0","[WEB] Sign up","0","46","Sign up with invalid credentials","0"
"2","Web Component","0","[WEB] Review Component","18","23","[Web] Component - Review Component","0"
"0","User","0","[API] Update User","0","67","Update user with invalid data","0"
"0","Auth","5","[WEB] Sign up","41","0","Sign up with valid credentials","0"
"2","Web Component","1","[WEB] Payment Component","8","40","[Web] Component - Payment Component","0"
"0","User","0","[API] Create Users","0","67","Create user with invalid data","0"
"1","Web Component","0","[WEB] Search Filter","3","0","[Web] Component - Search Filter","0"
"0","User","0","[API] Create Users","46","0","Create user with valid data","0"
"3","[Web] Component - Products Carousel","0","[Web] Component - Products Carousel","0","0","","0"
"0","Web Component","0","[WEB] Header Component","10","0","[Web] Component - Header Component","0"
"0","User","1","[API] Update User","45","0","Update user with valid data","0"
"0","Auth","0","[API] Auth","1","0","Get csrf","0"
"1","Web Component","0","[WEB] Brand Filter","1","0","[Web] Component - Brand Filter","0"
"1","Web Component","0","[WEB] Product Card","1","0","[Web] Component - Product Card Component","0"
"2","Web Component","0","[WEB] Product Card","5","0","[Web] Component - Product Item Component","0"
"4","Web Component","0","[WEB] Category Filter","1","0","[Web] Component - Category Filter","0"
"0","E2E","0","[E2E] Place Order","4","0","","0"
"1","Web Component","0","[WEB] Place Order Component","2","0","[Web] Component - Payment Component","0"
"2","Web Component","0","[WEB] Subscription Component","1","1","[Web] Component - Subscription component","0"
"2","[Web] Component - Products Carousel","1","[Web] Component - Products Carousel","0","0","[Web] Component - Products Carousel","0"
"1","Web Component","0","[WEB] Notification component","1","0","[Web] Component - Place Order Without Authorization Notification","0"
"2","Web Component","0","[WEB] Product Card","3","0","[Web] Component - Animated Product Card Component","0"
"1","Web Component","0","[WEB] Notification component","1","0","[Web] Component - Add Product Notification","0"
"3","[Web] Component - Image Carousel","0","[Web] Component - Image Carousel","0","0","","0"
"0","User","0","[API] Get User","1","0","Get user when user not exists","0"
"1","Web Component","0","[WEB] Product Details","3","0","[Web] Component - Product Details Component","0"
"1","UI","0","Component","0","0","[Web] Component - Page scroller","0"
"1","UI","0","Component","0","0","Page scroller","0"
"0","Product","0","[API] Get Product","1","0","[API] Get products should return 200_OK and contains expected product title","0"
"0","Product","0","[API] Get Product","1","0","Get all products","0"
"0","User","0","[API] Verify Login","1","0","Verify login with invalid data","0"
"0","Product","0","[API] Get Product","1","0","","0"
"0","Web Component","0","[WEB] Address Component","1","0","[Web] Component - Delivery Address Component","0"
"0","User","0","[API] Create Users","1","0","Create user with existing email","0"
"0","User","0","[API] Delete User","1","0","Delete user if user exists","0"
"0","Web Component","0","[WEB] Address Component","1","0","[Web] Component - Billing Address Component","0"
"0","User","0","[API] Delete User","1","0","Delete user if user not exists","0"
"1","[Web] Component - Image Carousel","0","[Web] Component - Image Carousel","0","0","[Web] Component - Image Carousel","0"
"0","User","0","[API] Get User","1","0","Get user when user exists","0"
"0","User","0","[API] Update User","1","0","Update user if user not exists","0"
"0","Product","0","[API] Get Product","1","0","Filter products by valid query","0"
"0","User","0","[API] Verify Login","1","0","Verify login with valid data","0"
"0","Auth","0","[WEB] Sign in","1","0","Sign in with invalid credentials","0"
"0","Brand","0","[API] Get Brands","1","0","Get brands","0"
"0","Auth","0","[WEB] Sign in","1","0","Sign in with valid credentials","0"
"0","Auth","0","[API] Auth","1","0","Login with valid data","0"
