"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'city' length = max + 1","tests.api.user","Mon Mar 16 06:08:23 UTC 2026","skipped","Mon Mar 16 06:08:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'mobile_number' length = min - 1","tests.api.user","Mon Mar 16 06:07:57 UTC 2026","skipped","Mon Mar 16 06:07:57 UTC 2026","TestCreateUserApi","test_create_user","",""
"","3060","[WEB] Sign up with valid data. Case: 'company' length = min","tests.web.component.auth","Mon Mar 16 06:17:32 UTC 2026","passed","Mon Mar 16 06:17:35 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","659","[WEB Component] Header has expected screenshot","tests.web.component.base","Mon Mar 16 06:29:21 UTC 2026","passed","Mon Mar 16 06:29:22 UTC 2026","TestHeaderComponent","test_header_component","",""
"","3715","[WEB] Sign up with valid data. Case: 'zipcode' length = min","tests.web.component.auth","Mon Mar 16 06:25:09 UTC 2026","passed","Mon Mar 16 06:25:12 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'city' length = max + 1","tests.api.user","Mon Mar 16 06:07:57 UTC 2026","skipped","Mon Mar 16 06:07:57 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'email' contains username hieroglyphs instead of username","tests.web.component.review","Mon Mar 16 06:26:20 UTC 2026","skipped","Mon Mar 16 06:26:20 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'last_name' is empty","tests.api.user","Mon Mar 16 06:08:23 UTC 2026","skipped","Mon Mar 16 06:08:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_month' is zero","tests.api.user","Mon Mar 16 06:08:23 UTC 2026","skipped","Mon Mar 16 06:08:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","146","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_day' length = 31","tests.api.user","Mon Mar 16 06:08:05 UTC 2026","passed","Mon Mar 16 06:08:05 UTC 2026","TestCreateUserApi","test_create_user","",""
"","233","[API] Create user should return 200_OK when send create user request with valid data. Case: 'zipcode' length = min","tests.api.user","Mon Mar 16 06:08:13 UTC 2026","passed","Mon Mar 16 06:08:14 UTC 2026","TestCreateUserApi","test_create_user","",""
"","268","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address1' length = max - 1","tests.api.user","Mon Mar 16 06:08:16 UTC 2026","passed","Mon Mar 16 06:08:17 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address2' length = max + 1","tests.api.user","Mon Mar 16 06:08:23 UTC 2026","skipped","Mon Mar 16 06:08:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_year' is zero","tests.api.user","Mon Mar 16 06:07:57 UTC 2026","skipped","Mon Mar 16 06:07:57 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: card number only spaces","tests.web.component.payment","Mon Mar 16 06:18:50 UTC 2026","skipped","Mon Mar 16 06:18:50 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'city' is empty","tests.api.user","Mon Mar 16 06:08:23 UTC 2026","skipped","Mon Mar 16 06:08:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","5996","Purchase products with login before checkout","tests.web.e2e","Mon Mar 16 06:27:33 UTC 2026","passed","Mon Mar 16 06:27:39 UTC 2026","TestPlaceOrder","test_place_order","",""
"","1027","[WEB Component] Should have expected success status message after sending contact info","tests.web.component.base","Mon Mar 16 06:12:37 UTC 2026","passed","Mon Mar 16 06:12:38 UTC 2026","TestSubscriptionComponent","test_subscription_component","",""
"","0","[WEB] Sign up with invalid data. Case: 'city' length = max","tests.web.component.auth","Mon Mar 16 06:08:56 UTC 2026","skipped","Mon Mar 16 06:08:56 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","264","[API] Update user should return 200_OK when send update user request with valid data. Case: 'birth_day' = 1","tests.api.user","Mon Mar 16 06:08:11 UTC 2026","passed","Mon Mar 16 06:08:11 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address1' is empty","tests.api.user","Mon Mar 16 06:07:57 UTC 2026","skipped","Mon Mar 16 06:07:57 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'state' length = min","tests.web.component.auth","Mon Mar 16 06:08:56 UTC 2026","skipped","Mon Mar 16 06:08:56 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","3136","[WEB] Sign up with valid data. Case: 'company' length = min + 1","tests.web.component.auth","Mon Mar 16 06:17:53 UTC 2026","passed","Mon Mar 16 06:17:57 UTC 2026","TestSignUpWeb","test_signup_component","",""
