"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","WEB Component","0","Product Item Component","7","0","[Web] Component - Product Item Component","0"
"0","API","0","User","46","0","Create user with valid data","0"
"0","WEB Component","0","Sign Up Component","46","0","Sign up with valid credentials","0"
"0","WEB Component","0","Payment Component","11","40","[Web] Component - Payment Component","0"
"0","WEB Component","0","Carousel Component (Products)","3","0","","0"
"0","WEB Component","0","Product Details Component","4","0","[Web] Component - Product Details Component","0"
"0","API","0","User","46","0","Update user with valid data","0"
"0","WEB Component","0","Sign Up Component","0","46","Sign up with invalid credentials","0"
"0","WEB Component","0","Notification Component","2","0","[Web] Component - Place Order Without Authorization Notification","0"
"0","WEB Component","0","Review Component","20","23","[Web] Component - Review Component","0"
"0","API","0","User","0","67","Create user with invalid data","0"
"0","API","0","User","0","67","Update user with invalid data","0"
"0","WEB Component","0","Product Card Component (Simple)","1","1","[Web] Component - Product Card Component","0"
"0","WEB Component","0","Header Component","10","0","[Web] Component - Header Component","0"
"0","WEB Component","0","Address Component","1","0","[Web] Component - Delivery Address Component","0"
"0","WEB Component","0","Search Filter","4","0","[Web] Component - Search Filter","0"
"0","API","0","User","1","0","Delete user if user not exists","0"
"0","WEB Component","0","Carousel Component (Images)","3","0","","0"
"0","WEB Component","0","Product Card Component (Animated)","5","0","[Web] Component - Animated Product Card Component","0"
"0","WEB Component","0","Address Component","1","0","[Web] Component - Billing Address Component","0"
"0","WEB Component","0","Carousel Component (Images)","1","0","[Web] Component - Image Carousel","0"
"0","E2E","0","[E2E] Place Order","4","0","","0"
"0","WEB Component","0","Subscription Component","3","1","[Web] Component - Subscription component","0"
"0","API","0","User","1","0","Delete user if user exists","0"
"0","WEB Component","1","Carousel Component (Products)","2","0","[Web] Component - Products Carousel","0"
"0","API","0","Verify Login","1","0","Verify login with invalid data","0"
"0","WEB Component","1","Category Filter","4","0","[Web] Component - Category Filter","0"
"0","WEB Component","0","Sign In Component","1","0","Sign in with valid credentials","0"
"0","API","0","User","1","0","Get user when user not exists","0"
"0","WEB Component","0","Place Order Component","3","0","[Web] Component - Payment Component","0"
"0","API","0","Verify Login","1","0","Verify login with valid data","0"
"0","API","0","Auth","1","0","Login with valid data","0"
"0","WEB Component","0","Notification Component","2","0","[Web] Component - Add Product Notification","0"
"0","API","0","User","1","0","Update user if user not exists","0"
"0","API","0","Product","1","0","Filter products by valid query","0"
"0","WEB Component","0","Page Scroller Component","1","0","[Web] Component - Page scroller","0"
"0","API","0","Product","1","0","","0"
"0","API","0","Auth","1","0","Get csrf","0"
"0","WEB Component","0","Brand Filter","2","0","[Web] Component - Brand Filter","0"
"0","WEB Component","0","Sign In Component","1","0","Sign in with invalid credentials","0"
"0","API","0","User","1","0","Create user with existing email","0"
"0","API","0","Brand","1","0","Get brands","0"
"0","API","0","User","1","0","Get user when user exists","0"
"0","API","0","Product","1","0","[API] Get products should return 200_OK and contains expected product title","0"
"0","API","0","Product","1","0","Get all products","0"
