"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_month' is negative","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: name contains digits","tests.web.component.payment","Thu Feb 26 04:24:31 UTC 2026","skipped","Thu Feb 26 04:24:31 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","365","[WEB Component] Product item should navigate to product page when click on item title","tests.web.component.product","Thu Feb 26 04:27:11 UTC 2026","passed","Thu Feb 26 04:27:12 UTC 2026","TestProductItem","test_product_item","",""
"","251","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address1' length = max","tests.api.user","Thu Feb 26 04:13:22 UTC 2026","passed","Thu Feb 26 04:13:22 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","325","[API] Create user should return 400_BAD_REQUEST when send create user request with existing email","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","passed","Thu Feb 26 04:12:59 UTC 2026","TestCreateUserApi","test_create_user","",""
"","1035","[WEB Component] Should navigate to login page by click 'Signup / Login' button","tests.web.component.base","Thu Feb 26 04:15:35 UTC 2026","passed","Thu Feb 26 04:15:37 UTC 2026","TestHeaderComponent","test_header_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'state' is empty","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains '.' before dog symbol","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","250","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = min","tests.api.user","Thu Feb 26 04:13:26 UTC 2026","passed","Thu Feb 26 04:13:26 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","150","[API] Create user should return 200_OK when send create user request with valid data. Case: 'zipcode' length = min","tests.api.user","Thu Feb 26 04:13:18 UTC 2026","passed","Thu Feb 26 04:13:18 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: cvc all zeros","tests.web.component.payment","Thu Feb 26 04:24:31 UTC 2026","skipped","Thu Feb 26 04:24:31 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' contains only special symbols","tests.api.user","Thu Feb 26 04:13:29 UTC 2026","skipped","Thu Feb 26 04:13:29 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'first_name' length = max","tests.web.component.auth","Thu Feb 26 04:14:00 UTC 2026","skipped","Thu Feb 26 04:14:00 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","494","[WEB Component] Should open product page when click on view product button","tests.web.component.product","Thu Feb 26 04:25:28 UTC 2026","passed","Thu Feb 26 04:25:28 UTC 2026","TestAnimatedProductCard","test_animated_product_card_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'mobile_number' is empty","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_month' is absent","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","136","[API] Create user should return 200_OK when send create user request with valid data. Case: 'mobile_number' length = min + 1","tests.api.user","Thu Feb 26 04:13:06 UTC 2026","passed","Thu Feb 26 04:13:06 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year is empty","tests.web.component.payment","Thu Feb 26 04:24:31 UTC 2026","skipped","Thu Feb 26 04:24:31 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","4839","[WEB] Sign up with valid data. Case: 'birth_year' = 10000","tests.web.component.auth","Thu Feb 26 04:22:26 UTC 2026","passed","Thu Feb 26 04:22:31 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","0","[WEB] Should not add product review with invalid data. Case: 'name' length = max + 1","tests.web.component.review","Thu Feb 26 04:32:26 UTC 2026","skipped","Thu Feb 26 04:32:26 UTC 2026","TestReviewComponent","test_review_component","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'birth_month' is zero","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","1339","[WEB Component] Should navigate to contact us page by click on 'Contact us' button","tests.web.component.base","Thu Feb 26 04:16:39 UTC 2026","passed","Thu Feb 26 04:16:40 UTC 2026","TestHeaderComponent","test_header_component","",""
"","1780","[WEB Component] Pay with valid card should show success status message. Case: valid: name max length","tests.web.component.payment","Thu Feb 26 04:21:23 UTC 2026","passed","Thu Feb 26 04:21:25 UTC 2026","TestPaymentComponent","test_payment_component","",""
"","143","[API] Create user should return 200_OK when send create user request with valid data. Case: 'birth_month' = 1","tests.api.user","Thu Feb 26 04:13:08 UTC 2026","passed","Thu Feb 26 04:13:09 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'last_name' length = min - 1","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'first_name' length = min - 1","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","157","[API] Create user should return 200_OK when send create user request with valid data. Case: 'mobile_number' length = max","tests.api.user","Thu Feb 26 04:13:07 UTC 2026","passed","Thu Feb 26 04:13:07 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'company' length = min - 1","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'mobile_number' length = min - 1","tests.api.user","Thu Feb 26 04:13:29 UTC 2026","skipped","Thu Feb 26 04:13:29 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'mobile_number' length = min + 1","tests.web.component.auth","Thu Feb 26 04:14:00 UTC 2026","skipped","Thu Feb 26 04:14:00 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","4386","[WEB] Sign up with valid data. Case: 'birth_day' length = 31","tests.web.component.auth","Thu Feb 26 04:20:53 UTC 2026","passed","Thu Feb 26 04:20:57 UTC 2026","TestSignUpWeb","test_signup_component","",""
"","480","[WEB] Should add product review with valid data. Case: 'email' domain name length = 2","tests.web.component.review","Thu Feb 26 04:32:59 UTC 2026","passed","Thu Feb 26 04:33:00 UTC 2026","TestReviewComponent","test_review_component","",""
"","146","[API] Create user should return 200_OK when send create user request with valid data. Case: 'state' length = max","tests.api.user","Thu Feb 26 04:13:13 UTC 2026","passed","Thu Feb 26 04:13:13 UTC 2026","TestCreateUserApi","test_create_user","",""
"","258","[API] Update user should return 200_OK when send update user request with valid data. Case: 'zipcode' length = min","tests.api.user","Thu Feb 26 04:13:26 UTC 2026","passed","Thu Feb 26 04:13:26 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","1849","[WEB Component] Search filter should return all products when filter by empty query","tests.web.component.filter","Thu Feb 26 04:19:18 UTC 2026","passed","Thu Feb 26 04:19:20 UTC 2026","TestSearchFilter","test_search_filter","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'address1' is empty","tests.api.user","Thu Feb 26 04:12:58 UTC 2026","skipped","Thu Feb 26 04:12:58 UTC 2026","TestCreateUserApi","test_create_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'last_name' is empty","tests.api.user","Thu Feb 26 04:13:29 UTC 2026","skipped","Thu Feb 26 04:13:29 UTC 2026","TestUpdateUserApi","test_update_user","",""
